pmid,title,abstract,journal,year
20922850,Cancer linked to Alzheimer disease but not vascular dementia.,,Neurology,2010
20861451,"Vitamins B(12), B(6), and folic acid for cognition in older men.","OBJECTIVE: To investigate whether supplementing older men with vitamins B(12), B(6), and folic acid improves cognitive function.
METHODS: The investigators recruited 299 community-representative hypertensive men 75 years and older to a randomized, double-blind controlled clinical trial of folic acid, vitamin B(6), and B(12) supplementation vs placebo over 2 years. The primary outcome of interest was the change in the cognitive subscale of the Alzheimer's Disease Assessment Scale (ADAS-cog). A secondary aim of the study was to determine if supplementation with vitamins decreased the risk of cognitive impairment and dementia over 8 years.
RESULTS: The groups were well-balanced for demographic and biochemical parameters. There was no difference in the ADAS-cog change from baseline to 24 months between the placebo (0.8, SD 4.0) and vitamins group (0.7, SD 3.4). The adjusted scores in the treatment groups did not differ over time (placebo 0.2 lower, z = 0.71, p = 0.478). There was a nonsignificant 28% decrease in the risk of cognitive impairment (odds ratio 0.72, 95% confidence interval 0.25-2.09) and dementia (hazard ratio 0.72, 95% confidence interval 0.29-1.78) over 8 years of follow-up.
CONCLUSIONS: The daily supplementation of vitamins B(12), B(6), and folic acid does not benefit cognitive function in older men, nor does it reduce the risk of cognitive impairment or dementia.
CLASSIFICATION OF EVIDENCE: This study provides Class I evidence that vitamin supplementation with daily doses of 500 μg [DOSAGE ERROR CORRECTED] of B(12), 2 mg of folic acid, and 25 mg of B(6) over 2 years does not improve cognitive function in hypertensive men aged 75 and older.",Neurology,2010
20625167,"Serial MRI and CSF biomarkers in normal aging, MCI, and AD.","OBJECTIVE: To compare the annual change in MRI and CSF biomarkers in cognitively normal (CN), amnestic mild cognitive impairment (aMCI), and Alzheimer disease (AD). Comparisons were based on intergroup discrimination, correlation with concurrent cognitive/functional changes, relationships to APOE genotype, and sample sizes for clinical trials.
METHODS: We used data from the Alzheimer's Disease Neuroimaging Initiative study consisting of CN, aMCI, and AD cohorts with both baseline and 12-month follow-up CSF and MRI. The annual change in CSF (total-tau [t-tau], Abeta(1-42)) and MRI (change in ventricular volume) was obtained in 312 subjects (92 CN, 149 aMCI, 71 AD).
RESULTS: There was no significant average annual change in either CSF biomarker in any clinical group except t-tau in CN; moreover, the annual change did not differ by clinical group in pairwise comparisons. In contrast, annual increase in ventricular volume increased in the following order, AD > aMCI > CN, and differences were significant between all clinical groups in pairwise comparisons. Ventricular volume increase correlated with concurrent worsening on cognitive/functional indices in aMCI and AD whereas evidence of a similar correlation with change in CSF measures was unclear. The annual changes in MRI differed by APOE epsilon4 status overall and among aMCI while annual changes in CSF biomarkers did not. Estimated sample sizes for clinical trials are notably less for MRI than the CSF or clinical measures.
CONCLUSIONS: Unlike the CSF biomarkers evaluated, changes in serial structural MRI are correlated with concurrent change on general cognitive and functional indices in impaired subjects, track with clinical disease stage, and are influenced by APOE genotype.",Neurology,2010
22254144,"Alzheimer's Disease: APP, Gamma Secretase, APOE, CLU, CR1, PICALM, ABCA7, BIN1, CD2AP, CD33, EPHA1, and MS4A2, and Their Relationships with Herpes Simplex, C. Pneumoniae, Other Suspect Pathogens, and the Immune System.","Alzheimer's disease susceptibility genes, APP and gamma-secretase, are involved in the herpes simplex life cycle, and that of other suspect pathogens (C. pneumoniae, H. pylori, C. neoformans, B. burgdorferri, P. gingivalis) or immune defence. Such pathogens promote beta-amyloid deposition and tau phosphorylation and may thus be causative agents, whose effects are conditioned by genes. The antimicrobial effects of beta-amyloid, the localisation of APP/gamma-secretase in immunocompetent dendritic cells, and gamma secretase cleavage of numerous pathogen receptors suggest that this network is concerned with pathogen disposal, effects which may be abrogated by the presence of beta-amyloid autoantibodies in the elderly. These autoantibodies, as well as those to nerve growth factor and tau, also observed in Alzheimer's disease, may well be antibodies to pathogens, due to homology between human autoantigens and pathogen proteins. NGF or tau antibodies promote beta-amyloid deposition, neurofibrillary tangles, or cholinergic neuronal loss, and, with other autoantibodies, such as anti-ATPase, are potential agents of destruction, whose formation is dictated by sequence homology between pathogen and human proteins, and thus by pathogen strain and human genes. Pathogen elimination in the ageing population and removal of culpable autoantibodies might reduce the incidence and offer hope for a cure in this affliction.",Int J Alzheimers Dis,2011
21685912,Identification of common variants influencing risk of the tauopathy progressive supranuclear palsy.,"Progressive supranuclear palsy (PSP) is a movement disorder with prominent tau neuropathology. Brain diseases with abnormal tau deposits are called tauopathies, the most common of which is Alzheimer's disease. Environmental causes of tauopathies include repetitive head trauma associated with some sports. To identify common genetic variation contributing to risk for tauopathies, we carried out a genome-wide association study of 1,114 individuals with PSP (cases) and 3,247 controls (stage 1) followed by a second stage in which we genotyped 1,051 cases and 3,560 controls for the stage 1 SNPs that yielded P ≤ 10(-3). We found significant previously unidentified signals (P < 5 × 10(-8)) associated with PSP risk at STX6, EIF2AK3 and MOBP. We confirmed two independent variants in MAPT affecting risk for PSP, one of which influences MAPT brain expression. The genes implicated encode proteins for vesicle-membrane fusion at the Golgi-endosomal interface, for the endoplasmic reticulum unfolded protein response and for a myelin structural component.",Nat Genet,2011
22189451,MRI cortical thickness biomarker predicts AD-like CSF and cognitive decline in normal adults.,"OBJECTIVE: New preclinical Alzheimer disease (AD) diagnostic criteria have been developed using biomarkers in cognitively normal (CN) adults. We implemented these criteria using an MRI biomarker previously associated with AD dementia, testing the hypothesis that individuals at high risk for preclinical AD would be at elevated risk for cognitive decline.
METHODS: The Alzheimer's Disease Neuroimaging Initiative database was interrogated for CN individuals. MRI data were processed using a published set of a priori regions of interest to derive a single measure known as the AD signature (ADsig). Each individual was classified as ADsig-low (≥ 1 SD below the mean: high risk for preclinical AD), ADsig-average (within 1 SD of mean), or ADsig-high (≥ 1 SD above mean). A 3-year cognitive decline outcome was defined a priori using change in Clinical Dementia Rating sum of boxes and selected neuropsychological measures.
RESULTS: Individuals at high risk for preclinical AD were more likely to experience cognitive decline, which developed in 21% compared with 7% of ADsig-average and 0% of ADsig-high groups (p = 0.03). Logistic regression demonstrated that every 1 SD of cortical thinning was associated with a nearly tripled risk of cognitive decline (p = 0.02). Of those for whom baseline CSF data were available, 60% of the high risk for preclinical AD group had CSF characteristics consistent with AD while 36% of the ADsig-average and 19% of the ADsig-high groups had such CSF characteristics (p = 0.1).
CONCLUSIONS: This approach to the detection of individuals at high risk for preclinical AD-identified in single CN individuals using this quantitative ADsig MRI biomarker-may provide investigators with a population enriched for AD pathobiology and with a relatively high likelihood of imminent cognitive decline consistent with prodromal AD.",Neurology,2011
23124365,TDP-43 skeins show properties of amyloid in a subset of ALS cases.,"Aggregation of TDP-43 proteins to form intracellular inclusions is the primary pathology in amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration (FTLD) with TDP-43 inclusions (FTLD-TDP). Histologically, in the cerebral cortex and limbic regions of affected ALS and FTLD-TDP patients, these pathologies occur as a variety of cytoplasmic, neuritic and intranuclear TDP-43 inclusions. In the spinal cord and lower brainstem of ALS patients, the lesions form cytoplasmic dashes or complex filamentous and spherical profiles in addition to skein-like inclusions (SLI). Ultrastructurally, the morphology of TDP-43 inclusions is heterogeneous but mainly composed of loose bundles of 10- to 20-nm-diameter straight filaments associated with electron-dense granular material. All of these TDP-43 inclusions are generally described as disordered amorphous aggregations unlike the amyloid fibrils that characterize protein accumulations in neurodegenerative diseases such as Alzheimer's disease and Parkinson's disease. We here report that Thioflavin-S positive SLI are present in a subset of ALS cases, while TDP-43 inclusions outside the spinal cord lack the chemical properties of amyloid. Further, we examine the differential enrichment of fibrillar profiles in SLI of ALS cases by TDP-43 immuno-electron microscopy (immuno-EM). The demonstration that pathological TDP-43 can be amyloidogenic in situ suggests the following conclusions: (1) the conformational changes associated with TDP-43 aggregation are more complex than previously thought; (2) Thioflavin-S positive SLI may be composed primarily of filamentous ultrastructures.",Acta Neuropathol,2012
22566505,Increased cerebral metabolism after 1 year of deep brain stimulation in Alzheimer disease.,"BACKGROUND: The importance of developing unique, neural circuitry-based treatments for the cognitive and neuropsychiatric symptoms of Alzheimer disease (AD) was the impetus for a phase I study of deep brain stimulation (DBS) in patients with AD that targeted the fornix.
OBJECTIVE: To test the hypotheses that DBS would increase cerebral glucose metabolism in cortical and hippocampal circuits and that increased metabolism would be correlated with better clinical outcomes.
DESIGN: Open-label trial.
SETTING: Academic medical center.
PATIENTS: A total of 5 patients with mild, probable AD (1 woman and 4 men, with a mean [SD] age of 62.6 [4.2] years).
INTERVENTION: Deep brain stimulation of the fornix.
MAIN OUTCOME MEASURES: All patients underwent clinical follow-up and high-resolution positron emission tomography studies of cerebral glucose metabolism after 1 year of DBS.
RESULTS: Functional connectivity analyses revealed that 1 year of DBS increased cerebral glucose metabolism in 2 orthogonal networks: a frontal-temporal-parietal-striatal-thalamic network and a frontal-temporal-parietal-occipital-hippocampal network. In similar cortical regions, higher baseline metabolism prior to DBS and increased metabolism after 1 year of DBS were correlated with better outcomes in global cognition, memory, and quality of life.
CONCLUSIONS: Increased connectivity after 1 year of DBS is observed, which is in contrast to the decreased connectivity observed over the course of AD. The persistent cortical metabolic increases after 1 year of DBS were associated with better clinical outcomes in this patient sample and are greater in magnitude and more extensive in the effects on cortical circuitry compared with the effects reported for pharmacotherapy over 1 year in AD.",Arch Neurol,2012
22710357,Distinct patterns of antiamyloid-β antibodies in typical and atypical Alzheimer disease.,"OBJECTIVE: To compare serum antiamyloid-β (Aβ) antibodies in typical and atypical Alzheimer disease (AD).
DESIGN: Preliminary observations.
SUBJECTS: Thirteen patients with AD, 8 patients with posterior cortical atrophy with evidence of AD (PCA-AD) pathophysiological process by both cerebrospinal fluid (CSF) biomarkers and amyloid imaging, and 12 age-matched control individuals.
INTERVENTIONS: The class and subclass levels of serum anti-Aβ antibodies were measured using an oligomer-based enzyme-linked immunosorbent assay. This method allowed measuring both free antibodies and, after acidic treatment, the total fraction that includes all antibodies complexed with circulating Aβ40/42 and any cross-reacting antigen.
RESULTS: Anti-Aβ IgG were restricted to the IgG1 and IgG3 subclasses. Their total levels were strikingly lower and more homogeneous in patients with PCA compared with both typical AD and controls, while biomarkers of amyloid deposition (CSF Aβ42 and positron emission tomography amyloid imaging) were similar in patients with AD and patients with PCA.
CONCLUSIONS: Serum anti-Aβ IgG1 and IgG3 antibodies differ between distinct forms of AD. Its significance is discussed for possible implications as immune effectors in the specific pathophysiology of AD variants.",Arch Neurol,2012
23247107,Lysine acetylation in the lumen of the ER: a novel and essential function under the control of the UPR.,"The N(ε)-amino group of lysine residues can be transiently modified by the addition of an acetyl group. Recognized functions of N(ε)-lysine acetylation include regulation of activity, molecular stabilization and conformational assembly of a protein. For more than forty years lysine acetylation was thought to occur only in the cytosol and nucleus. Targets included cytoskeletal-associated proteins as well as transcription factors, histone proteins and proteins involved in DNA recombination and repair. However, in 2007 we reported that a type I membrane protein involved in the pathogenesis of Alzheimer's disease was transiently acetylated on the ε amino group of seven lysine residues while transiting along the secretory pathway. Surprisingly, the acetylation occurred in the lumen of the endoplasmic reticulum (ER) forcing us to reconsider old paradigms. Indeed, if lysine acetylation can occur in the lumen of the ER, then all the essential biochemical elements of the reaction must be available in the lumen of the organelle. Follow-up studies revealed the existence of ER-based acetyl-CoA:lysine acetyltransferases as well as a membrane transporter that translocates acetyl-CoA from the cytosol into the ER lumen. Large-scale proteomics showed that the list of substrates of the ER-based acetylation machinery includes both transiting and resident proteins. Finally, genetic studies revealed that this machinery is tightly linked to human diseases. Here, we describe these exciting findings as well as recent biochemical and cellular advances, and discuss possible impact on both human physiology and pathology.",Biochim Biophys Acta,2012
22865056,"Genome-wide pathway analysis of memory impairment in the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort implicates gene candidates, canonical pathways, and networks.","Memory deficits are prominent features of mild cognitive impairment (MCI) and Alzheimer's disease (AD). The genetic architecture underlying these memory deficits likely involves the combined effects of multiple genetic variants operative within numerous biological pathways. In order to identify functional pathways associated with memory impairment, we performed a pathway enrichment analysis on genome-wide association data from 742 Alzheimer's Disease Neuroimaging Initiative (ADNI) participants. A composite measure of memory was generated as the phenotype for this analysis by applying modern psychometric theory to item-level data from the ADNI neuropsychological test battery. Using the GSA-SNP software tool, we identified 27 canonical, expertly-curated pathways with enrichment (FDR-corrected p-value < 0.05) against this composite memory score. Processes classically understood to be involved in memory consolidation, such as neurotransmitter receptor-mediated calcium signaling and long-term potentiation, were highly represented among the enriched pathways. In addition, pathways related to cell adhesion, neuronal differentiation and guided outgrowth, and glucose- and inflammation-related signaling were also enriched. Among genes that were highly-represented in these enriched pathways, we found indications of coordinated relationships, including one large gene set that is subject to regulation by the SP1 transcription factor, and another set that displays co-localized expression in normal brain tissue along with known AD risk genes. These results 1) demonstrate that psychometrically-derived composite memory scores are an effective phenotype for genetic investigations of memory impairment and 2) highlight the promise of pathway analysis in elucidating key mechanistic targets for future studies and for therapeutic interventions.",Brain Imaging Behav,2012
22963265,Biomarker positive and negative subjects in the ADNI cohort: clinical characterization.,"BACKGROUND: The Alzheimer's Disease Neuroimaging Initiative (ADNI) was created to develop standards for brain imaging and biomarkers for diagnosis and treatment trials. Using the ADNI dataset, experts have found that low cerebrospinal fluid amyloid-β1-42 (CSF Aβ1-42) concentration and high total-tau/Aβ1-42 ratio are highly predictive of progression in amnestic mild cognitive impairment (aMCI), and recommended these biomarkers to support the diagnosis of prodromal Alzheimer's disease and select patients for clinical trials. However, biomarker selection criteria may introduce systematic bias that undermines their utility.
METHODS: We tested for systematic biases among individuals undergoing lumbar puncture in the ADNI dataset who fulfilled the following entry criteria: (1) aMCI with CSF Aβ1-42 ≤ 192 pG/mL, compared to aMCI with Aβ1-42 > 192 pG/mL, and (2) aMCI with total-tau/Aβ1-42 > 0.39, compared to aMCI with total-tau/Aβ1-42 ≤ 0.39, as well as comparisons between participants with aMCI with and without lumbar puncture.
FINDINGS: Individuals with low CSF Aβ1-42 scored significantly poorer than individuals with high Aβ1-42 on several baseline measures of disease severity, including Logical Memory II (3.24 vs 4.73; p < 0.001), Functional Activities Questionnaire (4.30 vs 2.37; p < 0.001), and Alzheimer's Disease Assessment Scale-cognitive (12.23 vs 10.09; p=0.002). Similar results were found using high total-tau/Aβ1-42. No differences were found for individuals with and without lumbar puncture except for marital status.
INTERPRETATIONS: Individuals with aMCI with low Aβ1-42 in the ADNI dataset appear to have more advanced disease than those with high Aβ1-42. Selection criteria based on ADNI, as well as design of future studies, must account for potential confounds between biomarker status and disease severity to ensure that the former, and not the latter, is the true determinant of predictive accuracy.",Curr Alzheimer Res,2012
