pmid,title,abstract,journal,year
39877979,Cross-cultural validation of plasma p-tau217 and p-tau181 as precision biomarkers for amyloid PET positivity: An East Asian study in Taiwan and Korea.,"INTRODUCTION: Plasma phosphorylated tau (p-tau) biomarkers have improved Alzheimer's disease (AD) diagnosis, but data from diverse Asian populations are limited. This study evaluated plasma p-tau217 and p-tau181 levels in Korean and Taiwanese populations.
METHODS: All participants (n = 270) underwent amyloid positron emission tomography (PET) and blood tests. Plasma p-tau model-derived probabilities of amyloid PET positivity (amyloid beta [Aβ]+) classified participants into low-, intermediate-, or high-risk groups.
RESULTS: In both cohorts, plasma p-tau217 outperformed p-tau181, especially in cognitively unimpaired participants (area under the curve = 0.921 [p-tau217] vs. 0.769 [p-tau181], P<sub>difference </sub>= 0.022). Including apolipoprotein E status and glial fibrillary acidic protein improved model fit. The negative predictive value of the low-risk group and positive predictive value of the high-risk group were 97.5% and 86.0%, respectively.
DISCUSSION: Plasma p-tau217 and p-tau181 effectively predict Aβ+ among culturally different Asian populations. P-tau217 performed better, especially in the early stages of AD. Plasma p-tau217-based models reduced intermediate-risk classifications, suggesting fewer amyloid PET scans needed to confirm the diagnosis.
HIGHLIGHTS: The efficacy of plasma phosphorylated tau (p-tau)217 and p-tau181 was analyzed in two Asian populations. Plasma p-tau217 performs better in predicting amyloid positron emission tomography positivity, especially in cognitively unimpaired subjects. Adding apolipoprotein E and glial fibrillary acidic protein to p-tau improved model accuracy. The models from each cohort were confirmed in the other cohort. Plasma p-tau-based risk stratification may reduce the need for confirmatory tests.",Alzheimers Dement,2025
40138448,A polymorphism in the BIN1 gene influences its expression and is associated with the risk of Alzheimer's disease: An integrated analysis.,"BackgroundThe correlation between rs7561528 and the risk of Alzheimer's disease (AD) has been reported with varying results, and the potential mechanism of rs7561528 in influencing AD risk remains unexplored.ObjectiveThis study aims to examine the impact of rs7561528 on AD risk and to investigate its potential mechanism.MethodsThis study initially synthesized previously published data to investigate the correlation between rs7561528 and AD risk. Subsequently, an expression quantitative trait loci analysis was conducted to determine whether rs7561528 modulates the expression of BIN1 in human brain tissue.ResultsOur findings revealed that the rs7561528A allele notably escalates the risk of AD in the Caucasian population (OR = 1.17, 95% CI = 1.07-1.28, I² = 33.5%). Similarly, the rs7561528AG genotype also significantly heightens the risk of AD in the same population (OR = 1.18, 95% CI = 1.05-1.31, I² = 21.7%). Further analysis demonstrated that the combined rs7561528AA + AG genotype substantially amplifies the risk of AD in the Caucasian population (OR = 1.21, 95% CI = 1.08-1.36, I² = 30.0%). Ultimately, we discovered that rs7561528 modulates the expression of BIN1 in human brain tissue.Conclusionsrs7561528 could potentially affect the risk of AD by regulating the expression levels of BIN1 in human brain tissue. This discovery enhances our understanding of novel mechanisms through which rs7561528 may contribute to AD risk.",J Alzheimers Dis,2025
39809798,Interplay of p23 with FKBP51 and their chaperone complex in regulating tau aggregation.,"The pathological deposition of tau and amyloid-beta into insoluble amyloid fibrils are pathological hallmarks of Alzheimer's disease. Molecular chaperones are important cellular factors contributing to the regulation of tau misfolding and aggregation. Here we reveal an Hsp90-independent mechanism by which the co-chaperone p23 as well as a molecular complex formed by two co-chaperones, p23 and FKBP51, modulates tau aggregation. Integrating NMR spectroscopy, SAXS, molecular docking, and site-directed mutagenesis we reveal the structural basis of the p23-FKBP51 complex. We show that p23 specifically recognizes the TPR domain of FKBP51 and interacts with tau through its C-terminal disordered tail. We further show that the p23-FKBP51 complex binds tau to form a dynamic p23-FKBP51-tau trimeric complex that delays tau aggregation and thus may counteract Hsp90-FKBP51 mediated toxicity. Taken together, our findings reveal a co-chaperone mediated Hsp90-independent chaperoning of tau protein.",Nat Commun,2025
39929442,Sulforaphane: An emerging star in neuroprotection and neurological disease prevention.,"Neurological diseases, including both acute injuries and chronic neurodegenerative disorders, represent major contributors to morbidity and mortality worldwide. Chronic neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD), which require long-term management, present significant challenges in the search for neuroprotective agents with reduced adverse effects and enhanced therapeutic efficacy. Sulforaphane (SFN), a bioactive compound found in cruciferous vegetables like broccoli and cauliflower, has garnered considerable attention for its potent neuroprotective properties and overall health benefits. Marketed primarily as a dietary supplement, SFN has shown a variety of biological activities and therapeutic potential in neurological diseases. Recent surging studies including ours have highlighted its ability to impede the progression of AD, PD, and cerebral ischemia by fostering neurogenesis and inhibiting apoptosis, oxidative stress, and neuroinflammation. This review aims to summarize the latest research on SFN, exploring its advanced therapeutic potential and underlying mechanisms in various neurological diseases, offering a comprehensive overview for researchers focused on neurological pathogenesis and drug development in neuroprotection.",Biochem Pharmacol,2025
40149715,Ramp Sequence May Explain Synonymous Variant Association with Alzheimer's Disease in the Paired Immunoglobulin-like Type 2 Receptor Alpha (PILRA).,"Background: The synonymous variant NC_000007.14:g.100373690T&gt;C (rs2405442:T&gt;C) in the Paired Immunoglobulin-like Type 2 Receptor Alpha (PILRA) gene was previously associated with decreased risk for Alzheimer's disease (AD) in genome-wide association studies, but its biological impact is largely unknown. Objective: We hypothesized that rs2405442:T&gt;C decreases mRNA and protein levels by destroying a ramp of slowly translated codons at the 5' end of PILRA. Methods: We assessed rs2405442:T&gt;C predicted effects on PILRA through quantitative polymerase chain reactions (qPCRs) and enzyme-linked immunosorbent assays (ELISAs) using Chinese hamster ovary (CHO) cells. RESULTS: Both mRNA (p = 1.9184 × 10<sup>-13</sup>) and protein (p = 0.01296) levels significantly decreased in the mutant versus the wildtype in the direction that we predicted based on the destruction of a ramp sequence. Conclusions: We show that rs2405442:T&gt;C alone directly impacts PILRA mRNA and protein expression, and ramp sequences may play a role in regulating AD-associated genes without modifying the protein product.",Biomedicines,2025
40026006,Genetic geroscience and Alzheimer's disease: The pleiotropy is the point!,"Geroscience aims to understand how the biology of aging serves as a shared contributor to multiple age-related health conditions. Genetic variants that influence multiple traits are said to exert pleiotropic effects. The study by Pan and colleagues applied a modern statistical model to identify genetic variants with potentially pleiotropic effects by assessing their joint association with Alzheimer's disease and related dementias and another age-related comorbidity (e.g., coronary heart disease, hyperlipidemia, cancer). Motivated by Pan and colleagues, this commentary introduces the concept of genetic geroscience as a paradigm for identifying genetic variants with potentially pleotropic effects on multiple age-related health conditions.",J Alzheimers Dis,2025
39793768,Elevation of ganglioside degradation pathway drives GM2 and GM3 within amyloid plaques in a transgenic mouse model of Alzheimer's disease.,"Alzheimer's disease (AD) is a progressive neurodegenerative disease that accounts for two-thirds of all dementia cases, and age is the strongest risk factor. In addition to the amyloid hypothesis, lipid dysregulation is now recognized as a core component of AD pathology. Gangliosides are a class of membrane lipids of the glycosphingolipid family and are enriched in the central nervous system (CNS). Ganglioside dysregulation has been implicated in various neurodegenerative diseases, including AD, but the spatial distribution of ganglioside dysregulation with respect to amyloid-beta (Aβ) deposition is not well understood. To address this gap, matrix-assisted laser desorption/ionization (MALDI) mass spectrometry imaging (MSI) was employed to investigate the age-dependent expression profiles of the A-series ganglioside species GD1a, GM1, GM2, and GM3 in the APP/PS1 transgenic mouse model of AD in which age-dependent amyloid-beta (Aβ) plaques develop. This study utilized a dual-resolution approach in combination with whole-brain imaging for comprehensive detection of ganglioside expression across neuroanatomical regions via high-resolution imaging of the cerebral cortex and hippocampus to investigate plaque-associated ganglioside alterations. The results revealed age-dependent changes in the complex gangliosides GM1 and GD1a across white and gray matter regions in both wildtype and APP/PS1 mice. Significantly greater levels of simple gangliosides GM2 and GM3 were observed in the cortex and dentate gyrus of the hippocampus in transgenic mice at 12 and 18 m than in age-matched controls. The accumulation of GM3 colocalized with Aβ plaques in aged APP/PS1 mice and correlated with Hexa gene expression, suggesting that ganglioside degradation is a mechanism for the accumulation of GM3. This work is the first to demonstrate that age-related ganglioside dysregulation is spatiotemporally associated with Aβ plaques using sophisticated MSI and reveals novel mechanistic insights into lipid regulation in AD.",Neurobiol Dis,2025
39857643,"Human Endogenous Retroviruses and Their Putative Role in Pathogenesis of Alzheimer's Disease, Inflammation, and Senescence.","The human endogenous retroviruses (HERVs) are ancient exogenous retroviruses that were embedded in the germline over 30 million years ago and underwent an endogenization process. They make up roughly 8% of the human genome. HERVs exhibit many physiological and non-physiological functions; for example, they play a role in the development of many diseases. They have been shown to affect carcinogenesis by modifying the expression of host genes through their functions as enhancers and promoters. Additionally, some molecules derived from HERVs may stimulate the immune system. Recently research has been focused on the effect of human endogenous retroviruses on the development of neurodegenerative diseases, including Alzheimer's disease (AD), which is the most common cause of dementia. AD is also linked to a significant deterioration in quality of life. The article aims to highlight the potential role of HERVs in neurodegenerative diseases such as Alzheimer's disease and senescence. Moreover, it is estimated that HERVs may be potential targets for diagnosis and therapy of AD.",Biomedicines,2024
39962801,Autopsy-proven patient with corticobasal degeneration presenting with visuo-constructive disorders as initial symptoms: How advanced MRI sequences can help clinical practice.,"BackgroundCortico-basal degeneration (CBD) is a neurodegenerative disease typically responsible for cortico-basal syndrome (CBS) or progressive limb apraxia. Half of CBD patients, however, present atypical symptoms, making the diagnosis difficult.ObjectiveWe reported the case of a woman in her late sixties (BM208), an unusual case of autopsy-proven CBD, showing early signs of Benson's syndrome or posterior cortical atrophy. In addition, we compared cognitive performance and atrophy in different brain regions of BM208 with other neurodegenerative diseases patients to highlight clinical signs that could have guided the diagnosis earlier.MethodsWe retrospectively compared BM208 to patients with typical amnestic Alzheimer's disease (AD) (n = 18, Mini-Mental State Exam (MMSE) scores between 18 and 24), Benson's syndrome due to AD (n = 3), CBS/progressive supranuclear palsy (PSP) syndrome (n = 5), and Lewy body dementia (LBD) patients (n = 3) and a control group (n = 24). All these participants underwent an MMSE, a complete neuropsychological examination and 3DT1 MRI.ResultsAlthough BM208 was more severely cognitively impaired overall, her cognitive performance was more similar to Benson's syndrome patients' cognitive profile compared to CBS patients or any other degenerative pathology (typical AD/LBD). Consistently, although BM208 was more atrophic than all other groups, she showed cortical atrophy that matched a Benson's syndrome pattern more than typical AD or CBS. However, the analysis of subcortical atrophy revealed atrophy of the basal ganglia corresponding CBS cases. Furthermore, visual analyses on sagittal T1 images showed atrophy of the midbrain, characteristic of CBS/PSP syndrome.ConclusionsThese results highlight the additive value of fine-grained MRI subcortical quantification to diagnose non-AD rare neurodegenerative disorders.",J Alzheimers Dis,2025
40014594,Expression of Concern: Peptides of presenilin-1 bind the amyloid precursor protein ectodomain and offer a novel and specific therapeutic approach to reduce β-amyloid in Alzheimer's disease.,,PLoS One,2025
40082954,Probe-dependent Proximity Profiling (ProPPr) Uncovers Similarities and Differences in Phospho-Tau-Associated Proteomes Between Tauopathies.,"BACKGROUND: Tauopathies represent a diverse group of neurodegenerative disorders characterized by the abnormal aggregation of the microtubule-associated protein tau. Despite extensive research, the mechanisms underlying the diversity of neuronal and glial tau pathology in different tauopathies are poorly understood. While there is a growing understanding of tauopathy-specific differences in tau isoforms and fibrillar structures, the specific composition of heterogenous tau lesions remains unknown. Here we study the protein composition of tau aggregates in four major tauopathies: Alzheimer's disease (AD), corticobasal degeneration (CBD), Pick's disease (PiD), and progressive supranuclear palsy (PSP).
METHODS: We developed an approach for in situ proximity labeling and isolation of aggregate-associated proteins using glass slides with formalin-fixed paraffin-embedded (FFPE) human postmortem brain tissue, termed Probe-dependent Proximity Profiling (ProPPr). We used ProPPr for the analysis of proteomes associated with AT8-positive cellular lesions from frontal cortices. Isolated proximity proteomes were analyzed by data-independent acquisition mass spectrometry. Co-immunofluorescence staining and quantitative data analysis for selected proteins in human brain tissue was performed to further investigate associations with diverse tau pathologies.
RESULTS: Proteomics data analysis identified numerous common and tauopathy-specific proteins associated with phospho-tau aggregates. Extensive validations of candidates through quantitative immunofluorescence imaging of distinct aggregates across disease cases demonstrate successful implementation of ProPPr for unbiased discovery of aggregate-associated proteins in in human brain tissue. Our results reveal the association of retromer complex component vacuolar protein sorting-associated protein 35 (VPS35) and lysosome-associated membrane glycoprotein 2 (LAMP2) with specific types of phospho-tau lesions in tauopathies. Furthermore, we discovered a disease-specific association of certain proteins with distinct pathological lesions, including glycogen synthase kinase alpha (GSK3α), ferritin light chain (FTL), and the neuropeptide precursor VGF. Notably, the identification of FTL-positive microglia in CBD astrocytic plaques indicate their potential role in the pathogenesis of these lesions.
CONCLUSIONS: Our findings demonstrate the suitability of the ProPPr approach in FFPE brain tissue for unbiased discovery of local proteomes that provide valuable insights into the underlying proteomic landscape of tauopathies, shedding light on the molecular mechanisms underlying tau pathology. This first comprehensive characterization of tau-associated proteomes in a range of distinct tauopathies enhances our understanding of disease heterogeneity and mechanisms, informing strategies for the development of diagnostic biomarkers and targeted therapies.",Mol Neurodegener,2025
39778695,Unveiling FOXO3's metabolic contribution to menopause and Alzheimer's disease.,"The increasing prevalence of Alzheimer's disease (AD) calls for a comprehensive exploration of its complex etiology, with a focus on sex-specific vulnerability, particularly the heightened susceptibility observed in postmenopausal women. Neurometabolic alterations during the endocrine transition emerge as early indicators of AD pathology, including reduced glucose metabolism and increased amyloid-beta (Aβ) deposition. The fluctuating endocrine environment, marked by declining estradiol levels and reduced estrogen receptor beta (ERβ) activity, further exacerbates this process. In this context, here we explore the potential of forkhead box O3 (FOXO3) as a critical mediator linking metabolic disturbances to hormonal decline. We propose that FOXO3 plays a key role in the intersection of menopause and AD, given its dysregulation in both AD patients and postmenopausal women, modulating cellular metabolism through interactions with the AMPK/AKT/PI3K pathways. This relationship highlights the intersection between hormonal changes and increased AD susceptibility. This review aims to open a discussion on FOXO3's contribution to the metabolic dysregulation seen in menopause and its impact on the progression of AD. Understanding the functional role of FOXO3 in menopause-associated metabolic changes could lead to targeted therapeutic strategies, offering novel insights for managing for this condition.",Exp Gerontol,2025
